"","X2017_CPH12_S57","X2017_CPH13_S58","X2017_CPH15_S59","X2017_CPH16_S60","X2017_CPH17_S61","X2017_CPH18_S62","X2017_CPH20_S63","X2017_CPH24_S64","X2017_CPH25_S65","X2017_CPH3_S66","X2017_CPH30_S67","X2017_CPH31_S68","X2017_CPH32_S69","X2017_CPH33_S70","X2017_CPH34_S71","X2017_CPH36_S72","X2017_CPH37_S73","X2017_CPH40_S75","X2017_CPH41_S76","X2017_CPH43_S77","X2017_CPH44_S78","X2017_CPH48_S79","X2017_CPH50_S81","X2017_CPH54_S82","X2017_CPH61_S84","X2017_CPH67_S85","X2017_CPH68_S86","X2017_CPH7_S87","X2017_CPH71_S88","X2017_CPH77_S89","X2017_CPH79_S90","X2017_CPH8_S91","X2017_CPH82_S92","X2017_CPH86_S93","X2017_CPH87_S94","X2017_CPH88_S95","X2017_CPH9_S96","X2017_CPH90_S97","X2020_t0_CPH13_S101","X2020_t0_CPH14_S102","X2020_t0_CPH16_S104","X2020_t0_CPH19_S107","X2020_t0_CPH20_S109","X2020_t0_CPH25_S112","X2020_t0_CPH28_S115","X2020_t0_CPH29_S116","X2020_t0_CPH32_S120","X2020_t0_CPH39_S127","X2020_t0_CPH42_S131","X2020_t0_CPH51_S141","X2020_t0_CPH6_S150","X2020_t0_CPH67_S158","X2020_t0_CPH69_S160","X2020_t0_CPH72_S164","X2020_t0_CPH73_S165","X2020_t0_CPH78_S170","X2020_t0_CPH8_S172","X2020_t0_CPH85_S178","X2020_t0_CPH91_S185","X2020_t0_CPH93_S187","X17_18_001WR_S4","X17_18_003TB_S5","X17_18_005JB_S6","X17_18_011AS_S7","X17_18_014DM_S8","X17_18_016AB_S10","X17_18_017AF_S11","X17_18_018SD_S12","X17_18_020DH_S13","X17_18_021KD_S14","X17_18_022MB_S15","X17_18_026SM_S17","X17_18_027PL_S18","X17_18_028LB_S19","X17_18_029AS_S20","X17_18_031XK_S22","X17_18_034MJC_S25","X17_18_037SD_S27","X17_18_038WP_S28","X17_18_039DK_S29","X17_18_041JW_S31","X17_18_043BA_S32","X17_18_044JC_S33","X17_18_046IC_S34","X17_18_047AJ_S35","X17_18_048LW_S36","X17_18_050JMC_S38","X17_18_053AT_S41","X17_18_054RT_S42","X17_18_055GP_S43","X17_18_056SB_S44","X17_19_059OC_S45","X17_19_061LC_S46","X17_18_032AM_S23","X17_18_049CS_S37","X17_20_072CS_S53","X17_18_015ES_S9","X17_18_030LO_S21","X17_18_025MA_S16","X17_18_040RO_S30","X17_19_064WC_S47"
"hsa-miR-4500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276750633514942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0642846284039672,0,0,0,0,0,0,0,0,0,0,0.0434888682018448,0,0,0,-0.00159875290918064,0.000196775756726235,0.000542334890583537,0.000479082680789648,0,0,0.00188490630718187,0,0,0.0476077410290342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00153765019187639,0,0,0
"hsa-piR-022234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50594878188259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204967220596083,-0.0176291069501052,-0.0144274253175246,-0.0229099249483012,0.000159630894790167,-0.029219303796735,-0.0130865529800512,0,-0.00324280619738045,-0.0232909142439827,0,0,0,0,0,0,0,0,0,0,0.00981514481932029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1522707119019,0,0.0897943683711841,0,0
"hsa-miR-3195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0582670742194485,0,0,0,0,0,0,0,0.0591919553749992,0,0,0,0,0,0,0,0,0.220646165956607,0,0,0,0,0,0,0.105157020926224,0,0.078526424605817,0.115104407487266,0,0,0,0,0.0377659008569226,0,0.0483733817074346,0.0032023305133688,0.00423610455026,0.0135796463075752,0.0162229365524635,0.00916523510651126,0.0102702031814763,0.012498618331859,-0.0133718336047599,0.0130372960345313,0.0264372807153054,0.0134045485508146,0.0415618857879299,-0.00976871516854004,-0.0186432849628574,-0.0162601401912816,0.0226318598587838,0.00567179123028193,-0.02003426366173,0.0657960898661058,0.0127716278448396,-0.0115368862309086,0.0633902526053962,0.0348590138755323,0.00823029941300168,0.00531832069622063,0.00782412746831539,0.00849398730397526,0.00564457595764819,0.0101408250443622,0.0122126908606389,0.00785652425615711,0.00984748076874463,0.0150561526562618,-0.00290506879694382,0.0131368616940711,0.011446628049826,0.00351309954148324,-0.0172884887651156,0.00504669398428746,0.0811653374595515,0.0166622687594455
"hsa-piR-004152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0557253430546775,0,0,0,0,0,0,0,0,0,0,0,0,0.0846026469625474,0.0382028302852835,0.00275712553532046,0.00348904741236113,0.0667877936780201,0.00390585982041528,0.00239311532434808,0.00362554586609502,0.00293511114802795,-0.00527131132983287,0.00342670813970905,0.146607638125795,0.00114745591014658,0.0544277025327193,-0.00468065109807652,-0.00516224698072534,-0.00521253188814708,0.00187275647982032,0.00102389779281499,-0.00527565329117035,-0.00199923073129,0.000742050446475148,-0.00520051167056074,0.0202328715816777,-0.00468398948548115,0.00122191450510198,0,0.00100579686099367,0.0010405613934102,0,0,0.000748010651152192,0.0009311038740765,0.000863954377862525,0.00289869651242336,0.000938367724948428,0.00234752909920473,0.000846598802973512,0.00291504675586963,-0.00616104436648555,0.00258040705290001,0.032793604936609,0.00280579739402209
"hsa-piR-000794",0,0,0.0676057930230169,0.0451739693207261,0,0.0577156556786757,0.0804179369886534,0,0,0.0492397945679462,0,0.0635024315791017,0.0893060434872778,0.172527747653971,0.0392343662566599,0.0646013663865692,0.480414963712253,0,0.145773944723845,0,0.0624617284195914,0.0363461621599926,0.0355833908566683,0.168130042263568,0.150983530591751,0.0430581239865147,0.281092536504281,0.0594891488870307,0.0594241416334014,0,0.132135530968405,0.253927834553612,0.0651062140761869,0.0706212259401678,0.0809033421878346,0,0.0696696685328813,0,0,0.223009346697655,0,0.0566223786711323,0,0,0.127406325510897,0.0752431274880643,0.117452778487805,0.154212311650378,0,0.0849916932966574,0,0.137189496054723,0.115104407487266,0,0,0.118476144309631,0,0.0377659008569226,0.0888631722021695,0.0717099676073673,0.34785716714061,0.111447157348002,0.276071909809513,0.0574100699388132,0.362155534606163,0.22043206732427,-0.0796251318307979,-0.0754603946731981,-0.0712090912680158,0.130400885692179,-0.0642984449859812,0.133828755756256,0.0682672534810195,0.00311182231758358,0.0468260595695384,0.316867453840731,-0.0933761649201115,-0.0167033038703109,0.0184651873525568,-0.0318073700480726,0.00365053128436393,0.0881087875777271,0.0341167404699605,0.0727989047255164,0.166000077283113,0.117654779299139,0.095192105865544,-0.0812388666113328,-0.0525680691141136,-0.054267090692526,0.108165552469368,0.258702538386238,0.110314392264577,0.0332039987012722,0.209853985130119,0.161097173653973,0.330258785640733,0.14000150402231,-0.00530372055985734,0.0996363481614977,0.291674593973207
"hsa-miR-141-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0187975397720754,-0.0176291069501052,-0.0144274253175246,-0.0177776640534452,-0.0175012827743851,-0.0160138352296083,0,0,0,-0.0152757583794595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018468988257213,0,0.119363794784519,0,0
"hsa-miR-6787-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0146997456744995,-0.0137860268831598,-0.01128229999654,-0.0139021990878056,-0.0136860679046488,-0.0125228784193493,0,0,0,-0.0119456995907911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0144428171738548,0,0.0933429293062141,0,0
"hsa-piR-017167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0146997456744995,-0.0137860268831598,-0.01128229999654,-0.0139021990878056,-0.0136860679046488,-0.0125228784193493,0,0,0,-0.0119456995907911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0144428171738548,0,0.0933429293062141,0,0
