"Molecule","logFC","logCPM","F","PValue","FDR"
"hsa_piR_007351",-4.38548408609946,4.27028405563849,14.9271793908886,0.000186046093492617,0.02595343004222
"hsa-miR-657",-3.02028695633451,3.14004027286657,7.9533548019977,0.00566222651858575,0.223705090561578
"hsa_piR_020828",-3.00047254320297,2.91952217244599,11.3767454320259,0.00100401307883148,0.0933732163313279
"hsa_piR_020401",-2.13257533984081,1.42431469629332,6.63347333589626,0.0112317738770196,0.313366491168846
"hsa_piR_020450",-1.96528986265871,3.18857166204948,3.94537719692527,0.0492982604369759,0.687969357390633
"hsa-miR-1299",-1.94192233722898,3.21861176516027,4.64862163683572,0.0330906885534879,0.543076594495479
"hsa-miR-4329",-1.82495537530101,1.29231236379425,4.18007811236702,0.0432048419663915,0.651575724790445
"hsa_piR_020008",-1.21369803447225,6.61155661364696,8.77674663512908,0.00368486329760521,0.186923065460337
"hsa_piR_014620",-0.599942011201342,8.5540669779808,5.71756484831568,0.018363252764554,0.3638744574584
"hsa-miR-17-3p",-0.576746358633823,7.19178198238365,5.78844536812838,0.0176708447805589,0.3638744574584
"hsa-miR-7-5p",-0.407740719967858,9.0288270127672,4.2004879550321,0.042609967245665,0.651575724790445
"hsa-miR-191-5p",-0.389183389826253,14.4765538706628,5.09344032489921,0.0258409226635362,0.450601088945412
"hsa-miR-28-3p",-0.350320214359606,10.0408996156012,6.09485106240078,0.0149774911318841,0.3638744574584
"hsa-miR-142-3p",0.335309913523212,11.1076336740252,5.33922100352705,0.0225724325554843,0.406303785998718
"hsa-miR-16-5p",0.363461698125949,15.1410185202423,4.87359078487114,0.0291879082130977,0.493540993421471
"hsa-miR-17-5p",0.376127070734819,6.5314886068355,3.93676137696925,0.0495428767387951,0.687969357390633
"hsa-miR-21-5p",0.47278258129175,9.57195113441414,6.50605426943661,0.0120192925727694,0.319369774076444
"hsa-miR-6087",0.656275687201748,6.21384553680963,5.60112075509069,0.0195631428741075,0.3638744574584
"hsa-miR-144-3p",0.657700368648067,8.74706367968918,3.93639003269638,0.0495534489330509,0.687969357390633
"hsa-miR-182-5p",0.692064911680979,7.61102993783541,9.09502901944801,0.00313401655136218,0.17487812356601
"hsa_piR_009228",1.6404136375919,6.85839640804764,27.4862258674053,6.95459155893832e-07,0.000144207084422733
"hsa-miR-485-3p",1.79001162717914,1.79589605946753,4.44493993183047,0.0371948253641318,0.592991787233873
"hsa_piR_003242",2.09706303466256,1.66349651926108,5.88609499977983,0.0168283017316102,0.3638744574584
"hsa-miR-6068",2.12078186896124,1.41850469363579,5.89209893990892,0.0167739061813895,0.3638744574584
"hsa_piR_000036",2.12847459351284,2.48769791694269,5.61626423707244,0.0194025565062114,0.3638744574584
"hsa_piR_003938",2.13606237319844,1.88357044691795,5.73230740326953,0.0182169327046558,0.3638744574584
"hsa-miR-518b",2.19201115973798,3.28744320560684,7.32810048975442,0.00783273763212747,0.273166724920446
"hsa-miR-4271",2.27173371570101,1.39003018371499,7.07359675720278,0.00890039774620769,0.283211903712117
"hsa_piR_003972",2.27389562607957,2.04167739791246,6.03586666190191,0.0155248661358702,0.3638744574584
"hsa_piR_015836",2.28433998183039,1.47820057779383,6.90459717861048,0.00978060198048021,0.287240837110945
"hsa_piR_012706",2.30748604061727,1.21206717061615,7.92704289359535,0.00573963229929683,0.223705090561578
"hsa_piR_001520",2.41179390439112,1.87381178188179,7.83678933402929,0.00601357770326823,0.223705090561578
"hsa-miR-3195",2.43770431896754,1.26077501997705,10.6238733787129,0.00147182369078904,0.102571826225732
"hsa-miR-3675-3p",2.51057182951701,2.17594664036427,7.03424006013524,0.0091358678616812,0.283211903712117
"hsa_piR_007458",2.63249015377032,3.07697548446661,7.83762193804813,0.0059720722690505,0.223705090561578
"hsa_piR_012856",2.85722174933735,1.88959899877208,10.3876770258225,0.00165438429396342,0.102571826225732
"hsa_piR_012951",2.94133897597608,1.43329239184699,14.1843557073847,0.000259090735330221,0.0289145260628527
"hsa_piR_019615",2.94997092922108,1.90054992325002,10.4315148273753,0.00161881976515041,0.102571826225732
"hsa_piR_022012",4.08501470509541,1.29820777294977,29.1518511980809,7.75306905498564e-07,0.000144207084422733
"hsa_piR_009851",4.97200804312846,1.51258506487142,35.5206482528377,7.92638425084782e-08,4.42292241197308e-05
